Código;Descrição;Local
E581880G50HD;E58 18X8,0 5X114 ET0 HYPER DIAMOND;56E       
E581880G50P;E58 18X8,0 5X114 ET0 POLIDA;
E581880L50;E58 18X8,0 5X120 ET0 BRUTA;C2        
E581880L50HD;E58 18X8,0 5X120 ET0 HYPER DIAMOND;56D       
E581880L50P;E58 18X8,0 5X120 ET0 POLIDA;23D       
E581880R50;E58 18X8,0 5X139 ET0 BRUTA;C2        
E581880R50GD;E58 18X8,0 5X139 ET0 GRAPHITE DIAMOND;59E       
E581880R50HD;E58 18X8,0 5X139 ET0 HYPER DIAMOND;55D       
E581880R50P;E58 18X8,0 5X139 ET0 POLIDA;
E582080R50P;E58 20X8,0 5X139 ET0 POLIDA;
E582085G50;E58 20X8,5 5X114 G ET0 BRUTA;C5        
E582085G50P;E58 20X8,5 5X114 G ET0 POLIDA;23E       
E582085G5G0BD;E58 20X8,5 5X114 G ET0 BLACK DIAMOND;16D       
E582085G5G0GD;E58 20X8,5 5X114 G ET0 GRAPHITE DIAMOND;20E       
E582085G5G0HD;E58 20X8,5 5X114 G ET0 HYPER DIAMOND;20E       
E582085L5G0;E58 20X8,5 5X120 ET0 BRUTA;C5        
E582085L5G0BD;E58 20X8,5 5X120 G ET0 BLACK DIAMOND;15E       
E582085L5G0HD;E58 20X8,5 5X120 G ET0 HYPER DIAMOND;16D       
E582085R50P;E58 20X8,5 5X139 ET0 POLIDA;
E582085R5G0;E58 20X8,5 5X139 G ET0 BRUTA;C3        
E582085R5G0BD;E58 20X8,5 5X139 G ET0 BLACK DIAMOND;20E       
E582085R5G0GD;E58 20X8,5 5X139 G ET0 GRAPHITE DIAMOND;16E       
E582085R5G0HD;E58 20X8,5 5X139 G ET0 HYPER DIAMOND;19D       
E631570G50HD;E63 15X7,0 5X114 ET0 HYPER DIAMOND;24E       
E631570G520;E63 15X7,0 5X114 ET20 BRUTA;C1        
E631570G520BD;E63 15X7,0 5X114 ET20 BLACK DIAMOND;25E       
