codigo,descricao,local,quantidade,est_mk,pend_mk,est_moleri,pend_moleri,est_cm,pend_cm,est_olimpo,pend_olimpo,preco,inventario_id
G1401770499SS,"G140 17X7,0 4X99 ET38 SILVER STAR",Planilha,25,25,0,4,0,0,0,0,0,475,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
G14017705100B,"G140 17X7,0 5X100 ET38 BLACK",Planilha,4,4,0,0,0,0,0,0,0,475,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
G14017705100GB,"G140 17X7,0 5X100 ET38 GRAFITE BRILHANTE",Planilha,16,16,0,0,0,0,0,0,0,475,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
G14017705100SS,"G140 17X7,0 5X100 ET38 SILVER STAR",Planilha,16,16,0,0,0,0,0,0,0,475,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
G14017705105B,"G140 17X7,0 5X105 ET38 BLACK",Planilha,0,0,0,0,0,0,0,0,0,475,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
G14017705105GB,"G140 17X7,0 5X105 ET38 GRAPHITE BRILHANT",Planilha,0,0,0,0,0,0,0,0,0,475,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
G14017705105SS,"G140 17X7,0 5X105 ET38 SILVER STAR",Planilha,0,0,0,0,0,0,0,0,0,475,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
G14017705108B,"G140 17X7,0 5X108 ET38 BLACK",Planilha,0,0,0,0,0,0,0,0,0,475,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
G14017705108GB,"G140 17X7,0 5X108 ET38 GRAFITE BRILHANTE",Planilha,0,0,0,0,0,0,0,0,0,475,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
G14017705108SS,"G140 17X7,0 5X108 ET38 SILVER STAR",Planilha,0,0,0,0,0,0,0,0,0,475,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
G14017705113B,"G140 17X7,0 5X113 ET38 BLACK",Planilha,4,4,0,0,0,0,0,1,0,475,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
G14017705113GB,"G140 17X7,0 5X113 ET38 GRAFITE BRILHANTE",Planilha,16,16,0,0,0,0,0,0,0,475,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
G14017705113SS,"G140 17X7,0 5X113 ET38 SILVER STAR",Planilha,4,4,0,0,0,0,0,0,0,475,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
G1401770A99OV,"G140 17X7,0 4X99 ET38 OURO VELHO",Planilha,0,0,0,0,0,0,0,0,0,475,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
G1515555205BD,"G15 15X5,5 5X205 ET5 BLACK DIAMOND",Planilha,0,0,0,0,0,0,0,0,0,410,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
G151555F55BD,"G15 15X5,5 5X112 ET5 BLACK DIAMOND",Planilha,5,5,0,0,0,0,0,0,0,410,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
G1515805205BD,"G15 15X8,0 5X205 ET-7 BLACK DIAMOND",Planilha,21,21,0,4,0,4,0,0,0,410,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
G15271560A440B,"G1527 15X6,0 4X98 ET40 BLACK",Planilha,40,40,0,0,0,0,0,0,0,0,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
